id,term,category,synonyms,icd11_tm2_code,references,description
SI2190,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI4565,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
SI2191,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI8985,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2192,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN10028,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
YO2193,Meditation Focus,Yoga Therapy,"Dhyana,Concentration",TM2-YO3098,Yoga Sutras,A condition of Dhyana characterized by Concentration in Yoga Therapy context.
SI2194,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI9211,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2195,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI4015,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
SI2196,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI7260,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
HO2197,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO5434,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
UN2198,Khafaqan,Unani Disease,"Palpitation,Heart flutter",TM2-UN4313,Canon of Medicine,A condition of Palpitation characterized by Heart flutter in Unani Disease context.
YO2199,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO9813,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
AY2200,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY4977,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
SI2201,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI9861,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
AY2202,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY2996,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
UN2203,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN4902,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
HO2204,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO4643,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
SI2205,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI7246,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
SI2206,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI2597,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
SI2207,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI11876,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
YO2208,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO5896,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
AY2209,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY11353,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
AY2210,Amlapitta,Ayurvedic Disease,"Dyspepsia,Sour indigestion",TM2-AY10726,Charaka Samhita,Acid dyspepsia characterized by sour belching and heartburn
UN2211,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN7616,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
SI2212,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI8328,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
UN2213,Niqras,Unani Disease,"Gout,Podagra",TM2-UN10737,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
HO2214,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO4363,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
UN2215,Niqras,Unani Disease,"Gout,Podagra",TM2-UN12129,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
HO2216,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO5304,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
SI2217,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI4087,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2218,War-e-Kabid,Unani Disease,"Hepatitis,Liver inflammation",TM2-UN2832,Canon of Medicine,A condition of Hepatitis characterized by Liver inflammation in Unani Disease context.
AY2219,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY4695,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
SI2220,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI14147,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2221,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO16943,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
UN2222,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN8764,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
AY2223,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY10310,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
SI2224,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI4624,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
SI2225,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI8618,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
SI2226,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI2191,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
UN2227,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN6606,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
SI2228,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI15832,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
YO2229,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO8950,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
UN2230,Waj-ul-Mafasil,Unani Disease,"Joint Pain,Arthritis",TM2-UN4396,Canon of Medicine,A condition of Joint Pain characterized by Arthritis in Unani Disease context.
YO2231,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO2742,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
YO2232,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO1771,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
AY2233,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY6343,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
HO2234,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO12818,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2235,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI9021,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
UN2236,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN9285,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
SI2237,NeerizoVu,Siddha Condition,"Diabetes,Sweet urine",TM2-SI12094,Siddha Materia Medica,A condition of Diabetes characterized by Sweet urine in Siddha Condition context.
SI2238,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI6901,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
AY2239,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY5288,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
SI2240,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI2399,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
SI2241,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI4093,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
HO2242,Sulphur Profile,Homeopathic Indication,"Skin eruption,Burning",TM2-HO4948,Organon of Medicine,A condition of Skin eruption characterized by Burning in Homeopathic Indication context.
AY2243,Kasa,Ayurvedic Disease,"Cough,Bronchitis",TM2-AY9283,Charaka Samhita,A condition of Cough characterized by Bronchitis in Ayurvedic Disease context.
YO2244,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO13237,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
YO2245,Weight Reduction,Yoga Therapy,"Obesity,Fat loss",TM2-YO4583,Yoga Sutras,A condition of Obesity characterized by Fat loss in Yoga Therapy context.
HO2246,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO5222,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
AY2247,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY6855,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
YO2248,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO3464,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
AY2249,Shwasa,Ayurvedic Disease,"Asthma,Breathing difficulty",TM2-AY15773,Charaka Samhita,A condition of Asthma characterized by Breathing difficulty in Ayurvedic Disease context.
SI2250,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI4835,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
YO2251,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO2404,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
SI2252,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI5088,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
AY2253,Ashmari,Ayurvedic Disease,"Calculus,Stones",TM2-AY9548,Charaka Samhita,A condition of Calculus characterized by Stones in Ayurvedic Disease context.
UN2254,Niqras,Unani Disease,"Gout,Podagra",TM2-UN9449,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
AY2255,Amavata,Ayurvedic Disease,"Rheumatoid Arthritis,Joint swelling",TM2-AY6650,Charaka Samhita,A condition of Rheumatoid Arthritis characterized by Joint swelling in Ayurvedic Disease context.
AY2256,Vatarakta,Ayurvedic Disease,"Gout,Joint pain",TM2-AY2871,Charaka Samhita,A condition of Gout characterized by Joint pain in Ayurvedic Disease context.
SI2257,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI4261,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2258,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO5016,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
AY2259,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY10004,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
UN2260,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN10237,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
HO2261,Ignatia State,Homeopathic Indication,"Grief,Hysteria",TM2-HO1364,Organon of Medicine,A condition of Grief characterized by Hysteria in Homeopathic Indication context.
AY2262,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY11960,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
AY2263,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY14084,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
SI2264,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI4397,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
SI2265,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI9136,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
SI2266,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI6153,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2267,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI11625,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2268,Niqras,Unani Disease,"Gout,Podagra",TM2-UN14199,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
HO2269,Pulsatilla Profile,Homeopathic Indication,"Weepiness,Changeable",TM2-HO5299,Organon of Medicine,A condition of Weepiness characterized by Changeable in Homeopathic Indication context.
HO2270,Ignatia State,Homeopathic Indication,"Grief,Hysteria",TM2-HO5605,Organon of Medicine,A condition of Grief characterized by Hysteria in Homeopathic Indication context.
HO2271,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO12138,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
AY2272,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY10646,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
UN2273,Shaqiqa,Unani Disease,"Migraine,Hemicrania",TM2-UN3478,Canon of Medicine,A condition of Migraine characterized by Hemicrania in Unani Disease context.
YO2274,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO5014,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
YO2275,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO5121,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
UN2276,Niqras,Unani Disease,"Gout,Podagra",TM2-UN4968,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
SI2277,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI3760,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
AY2278,Hridroga,Ayurvedic Disease,"Heart Disease,Cardiac disorder",TM2-AY5596,Charaka Samhita,A condition of Heart Disease characterized by Cardiac disorder in Ayurvedic Disease context.
HO2279,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO5375,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
SI2280,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI7417,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
HO2281,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO11693,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2282,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI7574,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2283,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI7234,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
AY2284,Hridroga,Ayurvedic Disease,"Heart Disease,Cardiac disorder",TM2-AY4643,Charaka Samhita,A condition of Heart Disease characterized by Cardiac disorder in Ayurvedic Disease context.
SI2285,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI5206,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2286,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN12038,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
UN2287,Hikka,Unani Disease,"Pruritus,Itching",TM2-UN8875,Canon of Medicine,A condition of Pruritus characterized by Itching in Unani Disease context.
UN2288,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN10784,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
AY2289,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY10431,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
HO2290,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO5712,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
AY2291,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY7074,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
UN2292,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN6461,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
YO2293,Back Pain Management,Yoga Therapy,"Lumbar Spondylosis,Spine care",TM2-YO5917,Yoga Sutras,A condition of Lumbar Spondylosis characterized by Spine care in Yoga Therapy context.
UN2294,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN6836,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
SI2295,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI5014,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2296,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO8976,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
SI2297,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI4782,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2298,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN11944,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
SI2299,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI5775,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
SI2300,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI5385,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
AY2301,Shoola,Ayurvedic Disease,"Colic,Abdominal pain",TM2-AY4509,Charaka Samhita,A condition of Colic characterized by Abdominal pain in Ayurvedic Disease context.
HO2302,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO5017,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2303,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI10750,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
UN2304,Yaraqan,Unani Disease,"Jaundice,Yellow skin",TM2-UN2030,Canon of Medicine,A condition of Jaundice characterized by Yellow skin in Unani Disease context.
SI2305,Mega Noi,Siddha Condition,"Venereal Disease,STD",TM2-SI13933,Siddha Materia Medica,A condition of Venereal Disease characterized by STD in Siddha Condition context.
HO2306,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO11951,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
HO2307,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO6609,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
SI2308,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI9340,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
AY2309,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY2606,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
YO2310,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO1945,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
UN2311,Zof-e-Bah,Unani Disease,"Sexual Debility,Weakness",TM2-UN4357,Canon of Medicine,A condition of Sexual Debility characterized by Weakness in Unani Disease context.
SI2312,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI7477,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
YO2313,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO9217,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
YO2314,Stress Management,Yoga Therapy,"Anxiety,Mental peace",TM2-YO8006,Yoga Sutras,A condition of Anxiety characterized by Mental peace in Yoga Therapy context.
SI2315,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI10310,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
UN2316,Nazla,Unani Disease,"Catarrh,Coryza",TM2-UN11014,Canon of Medicine,A condition of Catarrh characterized by Coryza in Unani Disease context.
SI2317,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI8020,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
SI2318,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI13793,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
HO2319,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO7084,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
UN2320,Niqras,Unani Disease,"Gout,Podagra",TM2-UN1877,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
SI2321,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI16294,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
UN2322,Ziabetus,Unani Disease,"Diabetes,High blood sugar",TM2-UN3622,Canon of Medicine,A condition of Diabetes characterized by High blood sugar in Unani Disease context.
SI2323,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI7609,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
YO2324,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO13393,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
SI2325,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI17558,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
UN2326,Ziabetus,Unani Disease,"Diabetes,High blood sugar",TM2-UN4372,Canon of Medicine,A condition of Diabetes characterized by High blood sugar in Unani Disease context.
UN2327,Zukan,Unani Disease,"Common Cold,Running nose",TM2-UN1573,Canon of Medicine,A condition of Common Cold characterized by Running nose in Unani Disease context.
SI2328,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI9608,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
AY2329,Kamala,Ayurvedic Disease,"Jaundice,Icterus",TM2-AY4536,Charaka Samhita,A condition of Jaundice characterized by Icterus in Ayurvedic Disease context.
YO2330,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO5227,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
SI2331,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI10181,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
HO2332,Rhus Tox State,Homeopathic Indication,"Joint Stiffness,Better motion",TM2-HO10059,Organon of Medicine,A condition of Joint Stiffness characterized by Better motion in Homeopathic Indication context.
SI2333,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI7374,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
AY2334,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY6003,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
SI2335,Sanni,Siddha Condition,"Delirium,Coma like",TM2-SI3599,Siddha Materia Medica,A condition of Delirium characterized by Coma like in Siddha Condition context.
SI2336,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI1827,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2337,Kuruthi Azhal,Siddha Condition,"Hypertension,High BP",TM2-SI11002,Siddha Materia Medica,A condition of Hypertension characterized by High BP in Siddha Condition context.
SI2338,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI3217,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2339,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI11796,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
AY2340,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY8684,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
HO2341,Silicea Profile,Homeopathic Indication,"Suppuration,Lack of grit",TM2-HO14078,Organon of Medicine,A condition of Suppuration characterized by Lack of grit in Homeopathic Indication context.
UN2342,Niqras,Unani Disease,"Gout,Podagra",TM2-UN14364,Canon of Medicine,A condition of Gout characterized by Podagra in Unani Disease context.
AY2343,Vatarakta,Ayurvedic Disease,"Gout,Joint pain",TM2-AY2987,Charaka Samhita,A condition of Gout characterized by Joint pain in Ayurvedic Disease context.
YO2344,Prenatal Yoga,Yoga Therapy,"Pregnancy Care,Ante-natal",TM2-YO3524,Yoga Sutras,A condition of Pregnancy Care characterized by Ante-natal in Yoga Therapy context.
AY2345,Pandu,Ayurvedic Disease,"Anemia,Pallor",TM2-AY7909,Charaka Samhita,A condition of Anemia characterized by Pallor in Ayurvedic Disease context.
SI2346,Vatham,Siddha Condition,"Rheumatism,Wind humour",TM2-SI6706,Siddha Materia Medica,A condition of Rheumatism characterized by Wind humour in Siddha Condition context.
HO2347,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO5824,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
AY2348,Arsha,Ayurvedic Disease,"Hemorrhoids,Piles",TM2-AY10804,Charaka Samhita,A condition of Hemorrhoids characterized by Piles in Ayurvedic Disease context.
SI2349,Pitham,Siddha Condition,"Biliousness,Bile humour",TM2-SI8744,Siddha Materia Medica,A condition of Biliousness characterized by Bile humour in Siddha Condition context.
HO2350,Bryonia State,Homeopathic Indication,"Dry Cough,Worse motion",TM2-HO4702,Organon of Medicine,A condition of Dry Cough characterized by Worse motion in Homeopathic Indication context.
SI2351,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI12522,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
SI2352,Gunmam,Siddha Condition,"Gastritis,Ulcer",TM2-SI11622,Siddha Materia Medica,A condition of Gastritis characterized by Ulcer in Siddha Condition context.
AY2353,Hridroga,Ayurvedic Disease,"Heart Disease,Cardiac disorder",TM2-AY5646,Charaka Samhita,A condition of Heart Disease characterized by Cardiac disorder in Ayurvedic Disease context.
HO2354,Lycopodium Profile,Homeopathic Indication,"Liver trouble,Right side",TM2-HO4978,Organon of Medicine,A condition of Liver trouble characterized by Right side in Homeopathic Indication context.
SI2355,Sobai,Siddha Condition,"Anemia,Low blood",TM2-SI4323,Siddha Materia Medica,A condition of Anemia characterized by Low blood in Siddha Condition context.
AY2356,Mutrakrichha,Ayurvedic Disease,"Dysuria,Painful urination",TM2-AY7446,Charaka Samhita,A condition of Dysuria characterized by Painful urination in Ayurvedic Disease context.
YO2357,Breath Control,Yoga Therapy,"Pranayama,Lung capacity",TM2-YO6932,Yoga Sutras,A condition of Pranayama characterized by Lung capacity in Yoga Therapy context.
HO2358,Gelsemium,Homeopathic Indication,"Flu,Dullness",TM2-HO6597,Organon of Medicine,A condition of Flu characterized by Dullness in Homeopathic Indication context.
AY2359,Unmada,Ayurvedic Disease,"Insanity,Psychosis",TM2-AY10384,Charaka Samhita,A condition of Insanity characterized by Psychosis in Ayurvedic Disease context.
